"","LGA","anyEd","anyed_se","anyed_ci_l","anyed_ci_u","second.plus","seconddplus_se","seconddplus_ci_l","seconddplus_ci_u","higher","higherEd_se","higherEd_ci_l","higherEd_ci_u"
"1","BIRNIN_GWARI",0.183072535924493,0.0405049315265912,0.103684328936113,0.262460742912873,0.177401351135592,0.0396090644181472,0.0997690114146961,0.255033690856487,0.0337815089672914,0.0175050189458578,-0.000527697715281245,0.068090715649864
"2","CHIKUN",0.947582075327653,0.0168165477915019,0.914622247312013,0.980541903343293,0.887817175059086,0.024819406645863,0.839172031915541,0.936462318202632,0.367652828928082,0.0493992776955941,0.270832023782425,0.464473634073739
"3","GIWA",0.25805777615753,0.0369386417922836,0.185659368606828,0.330456183708231,0.143423666087407,0.0282483393197429,0.0880579383976445,0.19878939377717,0.0170964246984117,0.00792210009477748,0.00156939383072655,0.0326234555660969
"4","IGABI",0.572741727807608,0.055877651155517,0.463223544002102,0.682259911613114,0.452803255528463,0.0582617535843364,0.338612316827016,0.566994194229909,0.0689574407910466,0.0155388676628128,0.0385018198113994,0.0994130617706938
"5","IKARA",0.310300898386714,0.0470794807365076,0.218026811732312,0.402574985041116,0.162424063597028,0.0313385059529294,0.101001720599992,0.223846406594063,0.015092435410307,0.00533110837348541,0.00464365500059566,0.0255412158200183
"6","JABA",0.950809161333128,0.00803148808211234,0.935067733949925,0.96655058871633,0.874234370384609,0.0129508926069726,0.848851087307296,0.899617653461921,0.164371638614923,0.025669493204303,0.114060356433093,0.214682920796752
"7","JEMAA",0.949419257334361,0.0215958768661199,0.907092116462204,0.991746398206517,0.782412405710354,0.0595559991377463,0.665684792337072,0.899140019083635,0.145151709746297,0.0380189948820004,0.0706358490491635,0.21966757044343
"8","KACHIA",0.851325770449284,0.0244871865953949,0.803331766639598,0.89931977425897,0.634806451184405,0.0443607525959881,0.547860973769177,0.721751928599633,0.0688061298079449,0.0151179830576096,0.0391754274961434,0.0984368321197464
"9","KADUNA_NORTH",0.89893837707001,0.0163179836961615,0.866955716725222,0.930921037414798,0.81890266566789,0.0259990334955827,0.767945496383698,0.869859834952083,0.249982521050933,0.0398822046781159,0.171814836257771,0.328150205844095
"10","KADUNA_SOUTH",0.914187588912729,0.0117617971345088,0.891134890135625,0.937240287689832,0.842681952623716,0.0178522422538948,0.807692200762798,0.877671704484634,0.246237825502851,0.0266884692734136,0.193929386924456,0.298546264081245
"11","KAGARKO",0.67365492812946,0.0460882870059855,0.583323545488583,0.763986310770337,0.503972769015495,0.046092485389871,0.413633157693409,0.594312380337581,0.060612020612551,0.0141384674576672,0.0329011335989318,0.0883229076261702
"12","KAJURU",0.829532481078375,0.0210287841240576,0.788316821556554,0.870748140600195,0.549519250202081,0.0636493932202918,0.424768731852481,0.674269768551681,0.0403880129270514,0.0127636872127035,0.0153716456802182,0.0654043801738847
"13","KAURA",0.977251941216925,0.00911228017037975,0.959392200265942,0.995111682167908,0.855628691428706,0.0272814683176742,0.802157996080694,0.909099386776718,0.144676150386376,0.0223055538728204,0.10095806814043,0.188394232632322
"14","KAURU",0.2077551730101,0.0543024882284794,0.10132425181137,0.31418609420883,0.16507705384217,0.0474755918211536,0.072026603727985,0.258127503956356,0.0311759771380067,0.0144038731439026,0.00294490453807396,0.0594070497379395
"15","KUBAU",0.213790799532542,0.0414750502901715,0.132501194706818,0.295080404358265,0.116262706293397,0.0279307935257473,0.0615193569233076,0.171006055663486,0.00688283467809869,0.00525990641817274,-0.00342639246357095,0.0171920618197683
"16","KUDAN",0.276508855864913,0.0383158015826443,0.201411264724147,0.351606447005679,0.124923430100533,0.0223170797084117,0.0811827576319369,0.16866410256913,0.00320147671653187,0.00154127887972112,0.000180625622146241,0.0062223278109175
"17","LERE",0.270561572995243,0.03957751550132,0.19299106801508,0.348132077975406,0.20551059915101,0.0395912886318045,0.127913099331143,0.283108098970877,0.0112845984014024,0.00467044678039368,0.00213069092011977,0.0204385058826851
"18","MAKARFI",0.452226497939738,0.0468145232935551,0.360471718330958,0.543981277548517,0.193006900643755,0.0438628788636491,0.10703723781276,0.278976563474751,0.0147705965199012,0.00552710364833608,0.00393767243034253,0.0256035206094598
"19","SABON_GARI",0.859117872447456,0.0240945159848001,0.811893488892324,0.906342256002589,0.740390034584479,0.0420608069006039,0.657952367898602,0.822827701270357,0.241568576942874,0.0544939277043217,0.134762441266274,0.348374712619474
"20","SANGA",0.929163824285305,0.0151984513683617,0.899375406982533,0.958952241588078,0.669886532818614,0.0279383566428094,0.615128360011472,0.724644705625755,0.0454169376051999,0.0177768295537921,0.01057499192046,0.0802588832899397
"21","SOBA",0.157270812888683,0.0273769905824932,0.103612897341904,0.210928728435462,0.0600009862106868,0.0220573721725483,0.0167693311588961,0.103232641262478,0.0108464969001388,0.00542794170127149,0.000207926655463561,0.0214850671448139
"22","ZANGON_KATAF",0.957756671926912,0.0108778604753562,0.936436457166362,0.979076886687462,0.812132170886812,0.0324242916859624,0.748581726958104,0.875682614815519,0.12058573924289,0.0238108394685879,0.0739173514427929,0.167254127042987
"23","ZARIA",0.664241311758898,0.0507788862484213,0.564716523536936,0.76376609998086,0.516057611861285,0.0474919978167108,0.422975006586677,0.609140217135893,0.139159225532011,0.025310392544763,0.0895517677097046,0.188766683354318
